"Reihenfolge";"Abbildung_Diss";"Station";"Seite_Erzaehlfassung_v3";"Verwendung";"Datei";"Thema";"Hinweis";"Original";"SHA256"
"10";"5.6";"8";"10";"Hauptteil";"10_Abb_5-6_MLP_SOH_Ergebnis.png";"SOH-Schaetzung mit einem MLP";"Mit 5.5 zeigen. Einzelne Kurven fuer die Folie vergroessern.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\paper1_soh_pred.png";"EBFB1CCED6023E36F20EDF50BBC71507A1D9B13612E227926551C2D1F575CC9F"
"11";"3.3";"9";"11";"Hauptteil";"11_Abb_3-3_LSTM_Zelle.png";"LSTM-Zellstruktur";"Uebergang zur internen Zustandsfortschreibung.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\lstm_cell_eaai_style.png";"3408B44A227050A6821808B76E0D7620C50B47113C389521D5CFCD3A46BFDE66"
"12";"3.4";"9";"12";"Hauptteil";"12_Abb_3-4_GRU_Zelle.png";"GRU-Zellstruktur";"Mit LSTM vergleichen, nicht mit garantierter hoeherer Genauigkeit begruenden.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\gru_cell_eaai_style.png";"B24E65911D51392167135612D2555C83312EFC79BA8FDC5DE394318D69D48714"
"13";"6.1";"10";"14";"Hauptteil";"13_Abb_6-1_Benchmark_Methodik.png";"Die vier SOC-Modellzweige";"DM, HDM, HECM und DD sowie das gemeinsame SOH-Modell.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_02_Methodology_Overview.png";"9EF3DB09922CF62B8C7A5D3805CEBF515B475CA4F645E6769288A4D8A5268E71"
"14";"6.2";"11";"15";"Hauptteil";"14_Abb_6-2_Stoerungsfamilien.png";"Stoerungsfamilien";"Ueberblick ueber das Benchmarkdesign.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_03_Disturbance_Taxonomy.png";"C701324F5765A8255A6DB0A0A9C8710D0B2A35B09F109F3EDEB37B0AB20CC03A"
"15";"6.4";"12";"16";"Hauptteil";"15_Abb_6-4_Baseline.png";"Nominale Genauigkeit";"Zelluebergreifende Ergebnisse mit Unsicherheit.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_04_Baseline_Performance.png";"B385B18CBCD91AD7B8704A07D414A3A087899A7D33A34A527B5645D4ACDC4264"
"16";"6.5";"13";"17";"Hauptteil";"16_Abb_6-5_Current_Gain.png";"Systematischer Strommessfehler";"Die Grafik zeigt multiplikativen Gain, nicht additiven Offset.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_05_Current_Bias_REVISED.png";"D35D2F6B6BD0D02C2358A897D080FCA873A489EFA02F3935EE6B559E6E6D27EA"
"17";"6.9";"14";"18";"Hauptteil";"17_Abb_6-9_Initialisierung_Erholung.png";"Erholung nach Initialisierungsfehler";"Erholung relativ zum ungestoerten Vergleich erklaeren.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_09_Initial_State_Recovery_Six_Cell.png";"B00CD87961D6447400FC9A38B20FA26286EC04AB58914D96ADD02A4E801D9205"
"18";"6.13";"15";"19";"Hauptteil";"18_Abb_6-13_Spannungsspitze.png";"Reaktion auf einen lokalen Spannungsimpuls";"Hauptbeispiel fuer lokale Ereignisse. Stromrauschen liegt als Reserve bei.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_13_Voltage_Spike_Response_JES2.png";"A54E9F8360109E1DC0EFA098E7B47740E80B1278A84471A6D1E3190A0AACB9AA"
"19";"6.15";"16";"20";"Hauptteil";"19_Abb_6-15_Stoerungsvergleich.png";"Szenarienuebergreifende Fehlerzunahme";"Stromfehler im Gesamtvergleich einordnen.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_14_Cross_Scenario_Heatmap_Six_Cell.png";"EAD5148A7FD8A00D3FB5F26C6189B4F44D2A50B54955F7BE4BF6E2B8F4C39DBF"
"20";"6.16";"17";"21";"Hauptteil";"20_Abb_6-16_Benchmark_Synthese.png";"Accuracy, Robustness und Recovery";"Relative Synthese der untersuchten Vertreter.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_15_Decision_Synthesis_Six_Cell.png";"690C03C6EDCBCAE667E0B7EBAF8CDE834E32EC8378059B1DDC4862D7789C2654"
"21";"6.19";"18";"22";"Hauptteil";"21_Abb_6-19_Hardware_Speicher.png";"Flash und Peak-RAM der SOC-Implementierungen";"Isolierte SOC-Zweige mit extern vorgegebenem SOH, kein mitgemessener SOH-LSTM.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_19_Hardware_Memory_Footprints.png";"B6FBCBCDEC3AD9372F4E8A47BFC3C570A643E06DD7AF30F29474C44DC37E0200"
"22";"6.20";"19";"23";"Hauptteil";"22_Abb_6-20_DD_Ausfuehrungsmodi.png";"Rolling Window, Continuous State und Periodic Reset";"Ausfuehrungsmodi getrennt vom urspruenglichen Robustheitsprotokoll einordnen.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_20_DD_Inference_Mode_Comparison.png";"430CB252DF5038ACECC82E3491F7E6DC6A2700A7D1EE4D402A44AF90CCE81AF3"
"23";"7.1";"20";"25";"Hauptteil";"23_Abb_7-1_Embedded_LSTM.png";"LSTM mit nachgeschaltetem MLP";"Architekturwerte aus Abbildung 7.2 als Text bzw. Tabelle verwenden.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\embedded_lstm_schematic.png";"BC3C5546BF8C7E62304581CB06E5A7D7F625DAA5433CD35F01F0A461F39308AA"
"24";"7.3";"21";"26";"Hauptteil";"24_Abb_7-3_Optimierungsablauf.png";"Optimierung und C-Export";"Pruning und Quantisierung sind hier getrennt untersuchte Varianten.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\embedded_pipeline.png";"0D2EEAB861AEB07519D5C0776E5EA95B3B8843D6C5F43C82D0286D7788F1FAD8"
"25";"3.5";"22";"27";"Hauptteil";"25_Abb_3-5_Pruning.png";"Strukturiertes und unstrukturiertes Pruning";"Grundlagen unmittelbar vor den Optimierungsergebnissen.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\pruning_granularity_comparison.png";"DBF56C4030332F4C9EB7C9A39356C5D81CAB59F313DFEAA1C1E6021945E4B641"
"26";"3.7";"23";"28";"Hauptteil";"26_Abb_3-7_Quantisierung.png";"Quantisierungsumfang und Werteraster";"Gewichtsquantisierung von anderen FP32-Teilen unterscheiden.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\quantization_scope_and_grids.png";"4E2EC8DA359CB79BE9A0DA7CE47E44A339D225A429F24C135F5B84BBFB52574E"
"27";"7.8";"24";"29";"Hauptteil";"27_Abb_7-8_SOC_Fehler.png";"SOC-Fehler der Embedded-Varianten";"Kleine Zahlenabweichung zwischen Legende und Dissertationstext. Pruefhinweis auf S. 37 beachten.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\embedded_soc_error.png";"A198E2DDD4D83BA0CAE8B94D89CA13597808117317D0D192331B011E68916596"
"28";"7.9";"24";"29";"Hauptteil";"28_Abb_7-9_SOH_Fehler.png";"SOH-Fehler der Embedded-Varianten";"SOC und SOH getrennt bewerten.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\embedded_soh_error.png";"0EAF59F073B11BE4C19289991DBC9C25526E79E80A7C838D83D93FE59E7722BC"
"29";"7.12";"25";"30";"Hauptteil";"29_Abb_7-12_Parameter_Flash_RAM.png";"Parameter, Flash und RAM";"Vor finalen Folien RAM-Zahl und obere Parameter-/Gewichtspanels abgleichen. Details auf S. 37.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\embedded_model_sizes.png";"EDE18444A72AD7F845E279ADEE7DE2FBA14672B1BAF5B074F92DDD94E2FF995E"
"30";"7.13";"26";"31";"Hauptteil";"30_Abb_7-13_Host_Latenz.png";"Verteilung der End-to-End-Latenz";"Enthaelt Host und UART. Reine Kernelzeiten kommen aus Tabellen 7.1 und 7.2.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\embedded_latency_hist.png";"9BEBD0BE1C299C9F667FD90AEE72F471664F64180696FE10C6E2884362BAAF39"
"R01";"6.7";"Reserve";"33";"Reserve";"R01_Abb_6-7_Stromrauschen.png";"Stromrauschen als Reserve";"Ergaenzung oder Ersatz zum lokalen Ereignis in Abbildung 6.13.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_07_Noise_Robustness.png";"552A5352261BC395C3ED766627E2DEEFD21DECD4CEF766208793618D1051574F"
